================ Training Loss (Mon May 25 06:27:31 2020) ================
(epoch: 12, iters: 2100, time: 0.002, data: 0.001) total_loss: 0.361 reconstruction_loss: 0.292 confidence_loss: 0.069
(epoch: 12, iters: 2800, time: 0.002, data: 0.000) total_loss: 0.440 reconstruction_loss: 0.380 confidence_loss: 0.060
(epoch: 12, iters: 3500, time: 0.002, data: 9.220) total_loss: 0.578 reconstruction_loss: 0.519 confidence_loss: 0.059
(epoch: 12, iters: 4200, time: 0.002, data: 0.000) total_loss: 0.923 reconstruction_loss: 0.866 confidence_loss: 0.058
(epoch: 12, iters: 4900, time: 0.002, data: 0.000) total_loss: 0.619 reconstruction_loss: 0.555 confidence_loss: 0.064
(epoch: 12, iters: 5600, time: 0.001, data: 0.000) total_loss: 0.412 reconstruction_loss: 0.353 confidence_loss: 0.059
(epoch: 12, iters: 6300, time: 0.001, data: 0.000) total_loss: 0.206 reconstruction_loss: 0.157 confidence_loss: 0.049
(epoch: 13, iters: 700, time: 0.002, data: 8.530) total_loss: 0.588 reconstruction_loss: 0.545 confidence_loss: 0.043
(epoch: 13, iters: 1400, time: 0.001, data: 0.000) total_loss: 0.188 reconstruction_loss: 0.140 confidence_loss: 0.047
(epoch: 13, iters: 2100, time: 0.002, data: 0.000) total_loss: 0.302 reconstruction_loss: 0.238 confidence_loss: 0.064
(epoch: 13, iters: 2800, time: 0.002, data: 5.572) total_loss: 0.358 reconstruction_loss: 0.304 confidence_loss: 0.055
(epoch: 13, iters: 3500, time: 0.002, data: 0.000) total_loss: 0.238 reconstruction_loss: 0.167 confidence_loss: 0.071
(epoch: 13, iters: 4200, time: 0.002, data: 0.000) total_loss: 0.224 reconstruction_loss: 0.153 confidence_loss: 0.071
(epoch: 13, iters: 4900, time: 0.001, data: 0.000) total_loss: 0.297 reconstruction_loss: 0.213 confidence_loss: 0.084
(epoch: 13, iters: 5600, time: 0.001, data: 0.000) total_loss: 0.295 reconstruction_loss: 0.189 confidence_loss: 0.106
(epoch: 13, iters: 6300, time: 0.001, data: 1.340) total_loss: 0.204 reconstruction_loss: 0.096 confidence_loss: 0.108
(epoch: 14, iters: 700, time: 0.002, data: 4.765) total_loss: 0.173 reconstruction_loss: 0.066 confidence_loss: 0.107
(epoch: 14, iters: 1400, time: 0.002, data: 5.740) total_loss: 0.188 reconstruction_loss: 0.094 confidence_loss: 0.094
(epoch: 14, iters: 2100, time: 0.002, data: 0.006) total_loss: 0.162 reconstruction_loss: 0.074 confidence_loss: 0.088
(epoch: 14, iters: 2800, time: 0.002, data: 0.000) total_loss: 0.158 reconstruction_loss: 0.071 confidence_loss: 0.087
(epoch: 14, iters: 3500, time: 0.001, data: 0.000) total_loss: 0.153 reconstruction_loss: 0.081 confidence_loss: 0.071
(epoch: 14, iters: 4200, time: 0.002, data: 6.045) total_loss: 0.132 reconstruction_loss: 0.077 confidence_loss: 0.055
(epoch: 14, iters: 4900, time: 0.001, data: 0.000) total_loss: 0.199 reconstruction_loss: 0.133 confidence_loss: 0.066
(epoch: 14, iters: 5600, time: 0.002, data: 0.000) total_loss: 0.185 reconstruction_loss: 0.116 confidence_loss: 0.069
(epoch: 14, iters: 6300, time: 0.001, data: 0.000) total_loss: 0.137 reconstruction_loss: 0.087 confidence_loss: 0.050
(epoch: 15, iters: 700, time: 0.002, data: 9.062) total_loss: 0.324 reconstruction_loss: 0.247 confidence_loss: 0.077
